,Date,Open,High,Low,Close,Adj Close,Volume,daily_return,Vader_Text_polarity,polarity_score_change,pos_count,neg_count,neu_count,tweet_count
762,2018-03-28,,,,,,,,10.167399999999999,3.4229999999999983,19.0,1.0,17.0,37.0
0,2018-03-29,11.5,11.8,10.65,11.0,11.0,5863900.0,0.0,6.0952,-4.072199999999999,18.0,8.0,25.0,51.0
763,2018-03-30,,,,,,,,5.2312,-0.8639999999999999,11.0,2.0,9.0,22.0
764,2018-03-31,,,,,,,,1.1718000000000002,-4.0594,5.0,3.0,10.0,18.0
765,2018-04-01,,,,,,,,1.5993000000000004,0.4275000000000002,9.0,6.0,2.0,17.0
1,2018-04-02,11.05,11.5,10.91,11.0,11.0,2771000.0,0.0,2.9557000000000007,1.3564000000000003,8.0,2.0,6.0,16.0
2,2018-04-03,11.5,11.5,10.791,10.91,10.91,2509600.0,-0.008181818181818169,2.539,-0.4167000000000005,6.0,1.0,11.0,18.0
3,2018-04-04,10.75,11.08,10.55,10.97,10.97,1498200.0,0.005499541704857974,1.294,-1.245,6.0,5.0,3.0,14.0
4,2018-04-05,11.0,11.049,10.75,10.98,10.98,893300.0,0.0009115770282588683,2.3124,1.0183999999999997,5.0,2.0,6.0,13.0
5,2018-04-06,10.95,11.03,10.85,10.94,10.94,684700.0,-0.0036429872495447107,1.2044000000000001,-1.1079999999999997,9.0,3.0,3.0,15.0
766,2018-04-07,,,,,,,,0.18009999999999993,-1.0243000000000002,4.0,5.0,2.0,11.0
767,2018-04-08,,,,,,,,6.647200000000001,6.4671,11.0,1.0,2.0,14.0
6,2018-04-09,11.0,11.69,10.96,11.1,11.1,2648400.0,0.014625228519195626,2.1592,-4.488000000000001,6.0,1.0,6.0,13.0
7,2018-04-10,11.45,11.59,11.25,11.5,11.5,2198200.0,0.03603603603603607,2.0446,-0.11459999999999981,6.0,3.0,8.0,17.0
8,2018-04-11,11.58,11.59,11.03,11.48,11.48,1497800.0,-0.0017391304347825717,2.2769,0.23229999999999995,4.0,1.0,3.0,8.0
9,2018-04-12,11.53,11.76,11.35,11.62,11.62,2075200.0,0.012195121951219407,1.6368,-0.6400999999999999,5.0,1.0,6.0,12.0
10,2018-04-13,11.6,11.69,11.32,11.4,11.4,803800.0,-0.018932874354561004,7.8074,6.1706,16.0,2.0,9.0,27.0
768,2018-04-14,,,,,,,,3.8119999999999994,-3.995400000000001,9.0,3.0,7.0,19.0
769,2018-04-15,,,,,,,,3.6944,-0.11759999999999948,7.0,0.0,5.0,12.0
11,2018-04-16,11.41,11.5,11.33,11.33,11.33,562000.0,-0.006140350877193008,4.7189,1.0244999999999997,9.0,1.0,5.0,15.0
12,2018-04-17,11.35,11.4,11.16,11.32,11.32,635100.0,-0.0008826125330979512,1.7619000000000002,-2.9569999999999994,4.0,3.0,3.0,10.0
13,2018-04-18,11.44,11.5,11.29,11.35,11.35,582400.0,0.002650176678445173,5.979000000000001,4.2171,11.0,1.0,0.0,12.0
14,2018-04-19,11.4,11.49,11.28,11.35,11.35,433000.0,0.0,3.2904999999999993,-2.6885000000000017,8.0,4.0,6.0,18.0
15,2018-04-20,11.25,11.31,11.06,11.19,11.19,625700.0,-0.014096916299559484,2.0835,-1.2069999999999994,4.0,2.0,6.0,12.0
770,2018-04-21,,,,,,,,2.172,0.08850000000000025,4.0,2.0,5.0,11.0
771,2018-04-22,,,,,,,,1.2039000000000004,-0.9680999999999997,7.0,3.0,6.0,16.0
16,2018-04-23,11.29,11.46,11.051,11.19,11.19,867800.0,0.0,2.2133000000000003,1.0093999999999999,6.0,2.0,4.0,12.0
17,2018-04-24,11.25,11.52,11.21,11.29,11.29,1223300.0,0.008936550491510245,1.7681000000000002,-0.44520000000000004,5.0,1.0,4.0,10.0
18,2018-04-25,11.19,11.29,10.82,10.9,10.9,1530200.0,-0.034543844109831606,2.6938000000000004,0.9257000000000002,7.0,3.0,5.0,15.0
19,2018-04-26,11.06,11.19,10.85,11.0,11.0,343100.0,0.009174311926605472,0.4118,-2.2820000000000005,1.0,0.0,0.0,1.0
20,2018-04-27,11.0,11.1,10.61,10.61,10.61,495000.0,-0.03545454545454551,0.7276,0.3158,3.0,4.0,5.0,12.0
772,2018-04-28,,,,,,,,2.8836,2.1559999999999997,9.0,2.0,5.0,16.0
773,2018-04-29,,,,,,,,2.37,-0.5135999999999998,7.0,3.0,5.0,15.0
21,2018-04-30,10.7,11.08,10.1,10.92,10.92,1090900.0,0.029217719132893546,,,,,,
22,2018-05-01,10.84,11.04,10.41,10.58,10.58,581000.0,-0.031135531135531122,,,,,,
23,2018-05-02,10.52,10.636,10.21,10.26,10.26,558700.0,-0.03024574669187148,,,,,,
24,2018-05-03,10.19,10.459,10.0,10.08,10.08,844000.0,-0.01754385964912278,,,,,,
25,2018-05-04,10.18,10.28,9.86,9.99,9.99,954500.0,-0.008928571428571414,,,,,,
26,2018-05-07,10.01,10.14,9.86,10.0,10.0,877800.0,0.0010010010010009797,,,,,,
27,2018-05-08,10.05,10.49,9.95,10.27,10.27,733800.0,0.026999999999999958,0.4019,-1.9681000000000002,1.0,0.0,0.0,1.0
28,2018-05-09,10.41,10.73,10.28,10.65,10.65,1043500.0,0.037000973709834545,,,,,,
29,2018-05-10,10.73,11.679,10.51,11.0,11.0,1653000.0,0.032863849765258184,1.0776999999999999,0.6758,2.0,0.0,0.0,2.0
30,2018-05-11,11.06,12.19,11.06,11.46,11.46,3152500.0,0.04181818181818189,,,,,,
31,2018-05-14,11.55,12.2,11.5,12.07,12.07,1946800.0,0.053228621291448466,,,,,,
32,2018-05-15,12.07,12.42,11.52,12.16,12.16,1529300.0,0.007456503728251852,,,,,,
33,2018-05-16,12.24,14.35,12.16,14.11,14.11,3113400.0,0.1603618421052631,,,,,,
34,2018-05-17,13.83,14.87,13.03,13.55,13.55,4410200.0,-0.039688164422395374,0.0,-1.0776999999999999,0.0,0.0,1.0,1.0
35,2018-05-18,13.5,13.5,12.8,12.84,12.84,2469000.0,-0.05239852398523991,,,,,,
774,2018-05-19,,,,,,,,1.5758999999999999,1.5758999999999999,6.0,3.0,6.0,15.0
775,2018-05-20,,,,,,,,0.43800000000000006,-1.1378999999999997,4.0,2.0,7.0,13.0
36,2018-05-21,12.94,13.18,12.67,12.75,12.75,3480100.0,-0.007009345794392512,1.6835999999999998,1.2455999999999996,6.0,4.0,11.0,21.0
37,2018-05-22,13.0,13.26,12.61,13.14,13.14,2364300.0,0.03058823529411769,1.69,0.006400000000000183,4.0,1.0,5.0,10.0
38,2018-05-23,13.07,13.38,12.3,12.44,12.44,6222900.0,-0.053272450532724586,3.7674000000000003,2.0774000000000004,8.0,1.0,5.0,14.0
39,2018-05-24,14.35,15.49,13.45,13.85,13.85,16603700.0,0.11334405144694536,7.1758,3.4083999999999994,19.0,6.0,12.0,37.0
40,2018-05-25,13.86,14.44,13.85,14.24,14.24,3624500.0,0.028158844765343003,0.24060000000000006,-6.9352,6.0,3.0,13.0,22.0
776,2018-05-26,,,,,,,,0.9438999999999999,0.7032999999999998,7.0,4.0,4.0,15.0
777,2018-05-27,,,,,,,,0.2164999999999998,-0.7274,6.0,5.0,6.0,17.0
778,2018-05-28,,,,,,,,3.3452000000000006,3.1287000000000007,7.0,0.0,7.0,14.0
41,2018-05-29,14.3,15.189,14.22,15.03,15.03,4145300.0,0.05547752808988758,1.4464,-1.8988000000000007,7.0,2.0,9.0,18.0
42,2018-05-30,15.2,16.884001,15.19,16.67,16.67,6639700.0,0.10911510312707934,0.5932999999999999,-0.8531,6.0,3.0,8.0,17.0
43,2018-05-31,17.129999,17.709999,15.0,16.23,16.23,10142000.0,-0.026394721055788915,2.4214,1.8281000000000003,6.0,0.0,10.0,16.0
44,2018-06-01,16.51,17.200001,15.87,16.91,16.91,4287600.0,0.041897720271102876,3.0990999999999995,0.6776999999999993,10.0,3.0,9.0,22.0
779,2018-06-02,,,,,,,,2.322,-0.7770999999999995,4.0,1.0,6.0,11.0
780,2018-06-03,,,,,,,,0.3686,-1.9534,3.0,2.0,5.0,10.0
45,2018-06-04,17.4,18.155001,16.25,16.43,16.43,5657600.0,-0.028385570668243668,3.9657,3.5971,8.0,1.0,10.0,19.0
46,2018-06-05,16.48,16.74,15.6,16.709999,16.709999,4193100.0,0.017041935483870976,3.1748999999999996,-0.7908000000000004,6.0,0.0,8.0,14.0
47,2018-06-06,16.940001,16.959999,16.141001,16.57,16.57,2725700.0,-0.008378157293725723,2.3616999999999995,-0.8132000000000001,7.0,5.0,3.0,15.0
48,2018-06-07,16.559999,16.790001,16.049999,16.219999,16.219999,1983600.0,-0.021122570911285388,5.986800000000001,3.625100000000001,10.0,1.0,2.0,13.0
49,2018-06-08,16.1,19.35,15.85,18.950001,18.950001,10538300.0,0.1683108611782281,2.1622,-3.8246000000000007,8.0,2.0,3.0,13.0
781,2018-06-09,,,,,,,,0.9188999999999998,-1.2433,4.0,2.0,10.0,16.0
782,2018-06-10,,,,,,,,4.5197,3.6008000000000004,8.0,3.0,5.0,16.0
50,2018-06-11,19.01,19.35,17.360001,18.42,18.42,11994900.0,-0.027968389025414753,2.7727,-1.7470000000000003,4.0,1.0,6.0,11.0
51,2018-06-12,18.620001,19.1,17.6,18.66,18.66,7313900.0,0.013029315960911966,2.4091,-0.3635999999999999,7.0,2.0,6.0,15.0
52,2018-06-13,18.780001,20.24,18.5,20.07,20.07,10175900.0,0.07556270096463023,2.5247,0.11560000000000015,5.0,1.0,4.0,10.0
53,2018-06-14,20.690001,22.700001,19.6,20.5,20.5,19542000.0,0.021425012456402576,4.2139999999999995,1.6892999999999994,8.0,3.0,3.0,14.0
54,2018-06-15,20.575001,21.35,18.82,19.65,19.65,14056800.0,-0.04146341463414641,1.9836,-2.2303999999999995,5.0,3.0,8.0,16.0
783,2018-06-16,,,,,,,,2.9379999999999997,0.9543999999999997,6.0,1.0,7.0,14.0
784,2018-06-17,,,,,,,,2.4448,-0.49319999999999986,5.0,2.0,9.0,16.0
55,2018-06-18,19.35,21.66,18.950001,21.280001,21.280001,10162500.0,0.08295170483460561,2.0441000000000003,-0.4006999999999996,4.0,1.0,7.0,12.0
56,2018-06-19,20.799999,21.25,19.08,19.18,19.18,10723700.0,-0.09868425288137905,-0.7735999999999998,-2.8177000000000003,3.0,6.0,4.0,13.0
57,2018-06-20,20.040001,20.290001,18.5,18.540001,18.540001,8227700.0,-0.03336803962460894,4.6146,5.3882,8.0,0.0,2.0,10.0
58,2018-06-21,18.5,18.540001,16.0,16.440001,16.440001,13195500.0,-0.11326860230482196,5.1992,0.5846,15.0,4.0,7.0,26.0
59,2018-06-22,16.52,16.879999,15.38,16.65,16.65,8722300.0,0.012773661023499928,1.6536,-3.5456000000000003,5.0,2.0,6.0,13.0
785,2018-06-23,,,,,,,,4.4672,2.8136,7.0,1.0,7.0,15.0
786,2018-06-24,,,,,,,,2.3482999999999996,-2.1189000000000004,4.0,3.0,5.0,12.0
60,2018-06-25,15.67,16.190001,14.8,15.36,15.36,8813300.0,-0.07747747747747744,2.904,0.5557000000000003,8.0,3.0,4.0,15.0
61,2018-06-26,15.95,16.530001,15.51,15.85,15.85,7155400.0,0.031901041666666685,2.903799999999999,-0.00020000000000086615,6.0,3.0,12.0,21.0
62,2018-06-27,16.209999,16.299999,13.89,13.9,13.9,9576000.0,-0.12302839116719239,2.7759,-0.12789999999999901,8.0,4.0,13.0,25.0
63,2018-06-28,13.5,14.9,13.31,14.5,14.5,7180500.0,0.043165467625899255,-0.5604000000000001,-3.3363,4.0,4.0,5.0,13.0
64,2018-06-29,14.9,14.9,13.82,13.99,13.99,6025800.0,-0.03517241379310344,2.3602,2.9206,7.0,1.0,5.0,13.0
787,2018-06-30,,,,,,,,1.7404,-0.6197999999999999,6.0,3.0,11.0,20.0
788,2018-07-01,,,,,,,,2.629900000000001,0.8895000000000011,7.0,2.0,5.0,14.0
65,2018-07-02,13.24,13.64,12.97,13.36,13.36,7243900.0,-0.045032165832737725,1.8861000000000003,-0.7438000000000007,4.0,1.0,3.0,8.0
66,2018-07-03,13.54,14.09,13.12,13.8,13.8,3656400.0,0.032934131736527046,2.1062999999999996,0.22019999999999929,8.0,3.0,4.0,15.0
789,2018-07-04,,,,,,,,1.8519999999999999,-0.25429999999999975,4.0,1.0,3.0,8.0
67,2018-07-05,14.0,14.1,12.88,12.9,12.9,6617300.0,-0.06521739130434785,1.4385999999999999,-0.4134,7.0,4.0,5.0,16.0
