UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"🅸
🆃🅴🅲🅷",@_B_I_O_T_E_C_H_,2020-03-16T09:28:58.000Z,"$BNTX BIONTECH SAYS IT IS IN ADVANCED DISCUSSIONS WITH $PFE PFIZER  REGARDING DEVELOPMENT OF #CORONAVIRUS #VACCINE OUTSIDE CHINA             
$BNTX BIONTECH ANNOUNCES STRATEGIC ALLIANCE WITH #FOSUN PHARMA TO JOINTLY DEVELOP CORONAVIRUS #VACCINE IN #CHINA            #covid19",🅱 🅾,,2,4,[],https://twitter.com/_B_I_O_T_E_C_H_/status/1239483788721299462
RNA_Biotech,@RNA_Biotech,2020-03-16T06:52:15.000Z,"$BNTX rapid progress #COVID19 #mRNA #vaccine #BNT162

- start of clinical testing for vaccine in late April 2020

- plans to assemble global consortium of partners 

- 1st partner Fosun Pharma (china) will pay BioNTech up to 135M

https://finance.yahoo.com/news/biontech-reports-rapid-progress-covid-060010141.html…BioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China
BioNTech and Fosun Pharma will jointly conduct clinical trials of BNT162 in China, leveraging BioNTech’s proprietary mRNA vaccine technology and Fosun Pharma’s clinical.
finance.yahoo.com",,2,4,8,[],https://twitter.com/RNA_Biotech/status/1239444348787449856
Ned Pagliarulo,@NedPagliarulo,2020-03-16T12:15:41.000Z,"Several biopharma #COVID19 updates this morning:

$BNTX partners with China's Fosun Pharma on development of its mRNA vaccine candidate. Testing to begin in late April in Europe, US and China.

$SNY + $REGN open Ph. 2/3 study of Kevzara (IL-6) to test drug's use in limiting ARDS",,2,1,8,[],https://twitter.com/NedPagliarulo/status/1239525745300582400
DDNews Online,@DDNewsOnline,2020-03-16T17:00:00.000Z,"#FosunPharma & 
@BioNTech_Group
 to test #mRNA #vaccine candidate #BNT162 vs #COVID19 #coronavirus in China

Collab on #clinicaltrials in China using vaccine manufactured by BioNTech & #Polymun in Europe

https://biontech.de/science/pipeline?platform=47…
#infectiousdisease #GlobalHealth #bioproduction",,,,1,['https://pbs.twimg.com/media/ETPm6sAXQAAJ-sI?format=jpg&name=small'],https://twitter.com/DDNewsOnline/status/1239597296343371776
Amber Tong,@AmberTongPW,2020-03-16T11:25:28.000Z,"BioNTech teams up with Fosun Pharma to test Covid-19 mRNA vaccine in China — and scores $50M investment -BioNTech teams up with Fosun Pharma to test Covid-19 mRNA vaccine in China — and scores $50M...
Having quietly launched its own mRNA vaccine efforts against the novel coronavirus to match the higher profile campaigns of Moderna and CureVac, Germany’s BioNTech has offered a glimpse on its...
endpts.com",,,3,5,['https://pbs.twimg.com/card_img/1356734940486975491/WTDlqBIJ?format=jpg&name=small'],https://twitter.com/AmberTongPW/status/1239513107661303808
Odi Bruckman,@odibro,2020-03-16T06:27:37.000Z,"BioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China $BNTXBioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China
BioNTech and Fosun Pharma will jointly conduct clinical trials of BNT162 in China, leveraging BioNTech’s proprietary mRNA vaccine technology and Fosun...
globenewswire.com",,,5,12,['https://pbs.twimg.com/card_img/1357031511833387009/o28TB1pX?format=png&name=240x240'],https://twitter.com/odibro/status/1239438152592437249
ManufacturingChemist,@manchempharma,2020-03-16T15:24:11.000Z,"Fosun Pharma has agreed to work with 
@BioNTech_Group
 to develop its coronavirus vaccine candidate in ChinaFosun Pharma invests $50m in BioNTech for its COVID-19 vaccine
The two companies have agreed to develop BNT162 in China leveraging Fosun’s capabilities in the country
manufacturingchemist.com",,,1,2,[],https://twitter.com/manchempharma/status/1239573182115430400
SY Investing,@syinvesting,2020-03-16T07:11:23.000Z,"$BNTX BioNTech and Fosun Pharma form a #COVID19 vaccine strategic alliance in China.

- Jointly conduct trials of BNT162 (mRNA vaccine)
- Fosun will retain China rights, while BioNTech will retain ex-China rights
- Fosun to pay $135M upfront + milestonesBioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China
BioNTech and Fosun Pharma will jointly conduct clinical trials of BNT162 in China, leveraging BioNTech’s proprietary mRNA vaccine technology and Fosun...
globenewswire.com",,1,,6,['https://pbs.twimg.com/card_img/1357031511833387009/o28TB1pX?format=png&name=240x240'],https://twitter.com/syinvesting/status/1239449166062874624
FirstWord Pharma,@fwpharma,2020-03-16T17:08:56.000Z,"BioNTech, Fosun Pharma forge alliance to develop COVID-19 vaccine candidate BNT162 in ChinaBioNTech, Fosun Pharma forge alliance to develop COVID-19 vaccine candidate BNT162 in China
BioNTech and Fosun Pharmaceutical on Monday announced a strategic collaboration to advance BioNTech's mRNA vaccine candidate BNT162 in China for the prevention of COVID-19 infections. Under the terms...
firstwordpharma.com",,,1,1,[],https://twitter.com/fwpharma/status/1239599543760703488
MIT Sloan Experts,@mitsloanexperts,2020-03-16T20:53:00.000Z,"“The race to produce a coronavirus vaccine accelerated on Monday when the German group BioNTech announced a $135m partnership with Fosun Pharma of China to develop a Covid-19 vaccine, which it said could begin clinical testing in late April.”引用推文
Financial Times
@FT
 · 2020年3月17日
Fosun and BioNTech launch $135m vaccine hunt for coronavirus https://on.ft.com/2WkQ9cS",,,,3,['https://pbs.twimg.com/profile_images/931156393108885504/EqEMtLhM_mini.jpg'],https://twitter.com/mitsloanexperts/status/1239655933200027648
