Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,26.200001,26.850000,26.200001,26.600000,26.414387,20531895
2020-01-02,26.770000,27.080000,26.490000,27.040001,26.851316,23797305
2020-01-03,27.049999,27.230000,26.680000,27.100000,26.910896,20427941
2020-01-06,26.879999,27.150000,26.629999,26.700001,26.513689,19187499
2020-01-07,26.719999,27.150000,26.719999,26.900000,26.712292,14892496
2020-01-08,26.299999,26.299999,26.299999,26.299999,26.116478,17673907
2020-01-09,26.510000,26.740000,26.440001,26.600000,26.414387,16543976
2020-01-10,26.700001,27.200001,26.680000,26.959999,26.771873,23293691
2020-01-13,27.070000,27.070000,27.070000,27.070000,26.881105,15195071
2020-01-14,26.830000,26.830000,26.830000,26.830000,26.642780,15677475
2020-01-15,26.799999,27.090000,26.600000,26.680000,26.493828,12907557
2020-01-16,26.740000,26.920000,26.580000,26.920000,26.732153,13622116
2020-01-17,26.889999,27.400000,26.820000,26.920000,26.732153,23125373
2020-01-20,27.250000,27.580000,26.940001,27.400000,27.208803,27388176
2020-01-21,27.549999,28.129999,27.389999,27.860001,27.665594,42680852
2020-01-22,27.980000,27.980000,26.860001,27.059999,26.871176,34533483
2020-01-23,26.990000,27.280001,25.799999,26.180000,25.997316,29110099
2020-02-03,23.990000,25.969999,23.990000,25.670000,25.490875,45598970
2020-02-04,26.680000,27.260000,25.770000,27.200001,27.010201,52968725
2020-02-05,27.520000,28.520000,26.910000,28.440001,28.241547,62857418
2020-02-06,28.400000,29.549999,27.840000,28.219999,28.023081,80054320
2020-02-07,28.200001,28.719999,27.280001,27.620001,27.427269,53168602
2020-02-10,27.639999,27.799999,27.000000,27.270000,27.079712,29922433
2020-02-11,27.340000,27.430000,26.799999,27.219999,27.030058,23112878
2020-02-12,27.200001,27.520000,26.950001,27.260000,27.069780,24614497
2020-02-13,27.340000,27.340000,26.610001,26.719999,26.533548,27709964
2020-02-14,26.760000,26.950001,26.270000,26.459999,26.275362,23503259
2020-02-17,26.450001,26.790001,26.330000,26.760000,26.573269,23926140
2020-02-18,26.820000,26.950001,26.379999,26.530001,26.344875,28086082
2020-02-19,26.530001,26.530001,26.040001,26.090000,25.907946,26562346
2020-02-20,26.049999,26.299999,25.950001,26.260000,26.076759,21465996
2020-02-21,26.270000,26.530001,26.070000,26.430000,26.245573,25721358
2020-02-24,26.540001,26.870001,26.430000,26.790001,26.603062,32622741
2020-02-25,26.780001,29.469999,26.629999,29.309999,29.105474,108967314
2020-02-26,29.170000,29.500000,28.040001,28.040001,27.844339,69731259
2020-02-27,28.360001,28.790001,27.879999,28.049999,27.854267,35526667
2020-02-28,27.530001,27.900000,26.790001,26.879999,26.692430,39269582
2020-03-02,27.129999,27.750000,26.900000,27.600000,27.407408,30081145
2020-03-03,27.870001,28.299999,27.559999,27.730000,27.536501,31295453
2020-03-04,27.650000,28.840000,27.250000,28.520000,28.320988,39972845
2020-03-05,28.559999,28.840000,28.270000,28.680000,28.479872,35349200
2020-03-06,28.500000,29.100000,28.360001,28.459999,28.261406,30626534
2020-03-09,27.799999,28.459999,27.680000,27.879999,27.685453,35933854
2020-03-10,28.000000,28.299999,27.299999,27.969999,27.774826,37674848
2020-03-11,27.969999,28.059999,27.360001,27.389999,27.198874,26784184
2020-03-12,27.139999,27.280001,26.389999,26.590000,26.404455,23134234
2020-03-13,25.400000,26.180000,25.020000,26.100000,25.917875,29268130
2020-03-16,27.969999,28.500000,26.700001,26.959999,26.771873,66648072
2020-03-17,27.799999,29.230000,26.990000,29.200001,28.996244,95012345
2020-03-18,29.799999,31.280001,28.580000,28.620001,28.420292,118202453
2020-03-19,29.370001,30.030001,28.540001,29.850000,29.641708,90695001
2020-03-20,29.940001,29.940001,28.900000,29.559999,29.353731,60140577
2020-03-23,28.760000,29.270000,27.820000,27.930000,27.735106,49741929
2020-03-24,28.379999,30.660000,27.320000,30.330000,30.118359,88595804
2020-03-25,30.230000,31.799999,29.700001,30.910000,30.694311,88364423
