Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,23.350000,23.700001,23.299999,23.500000,23.203667,1108905
2020-01-02,23.500000,23.799999,23.299999,23.799999,23.499882,1709000
2020-01-03,24.049999,24.150000,23.650000,23.750000,23.450514,2251988
2020-01-06,23.500000,23.900000,23.200001,23.450001,23.154297,1894945
2020-01-07,23.500000,23.799999,23.450001,23.500000,23.203667,1631034
2020-01-08,23.350000,23.400000,22.900000,23.049999,22.759340,2009233
2020-01-09,23.350000,23.600000,23.200001,23.500000,23.203667,1970107
2020-01-10,23.700001,23.900000,23.500000,23.600000,23.302404,1653973
2020-01-13,23.549999,24.000000,23.549999,23.950001,23.647993,2692812
2020-01-14,24.299999,24.350000,23.799999,23.950001,23.647993,2568942
2020-01-15,23.799999,24.100000,23.549999,23.750000,23.450514,2462191
2020-01-16,23.750000,24.000000,23.600000,23.750000,23.450514,2473351
2020-01-17,23.850000,24.200001,23.700001,24.049999,23.746729,3728490
2020-01-20,24.049999,24.350000,23.900000,24.200001,23.894840,2037871
2020-01-21,24.299999,24.500000,23.299999,23.450001,23.154297,3754700
2020-01-22,23.450001,23.700001,22.900000,23.600000,23.302404,1469500
2020-01-23,23.350000,23.600000,22.100000,22.750000,22.463123,1791500
2020-01-24,22.600000,22.750000,22.350000,22.750000,22.463123,266511
2020-01-29,21.600000,22.400000,21.600000,21.799999,21.525103,2235601
2020-01-30,21.600000,21.799999,20.650000,20.950001,20.685822,2901572
2020-01-31,21.350000,21.350000,20.600000,20.900000,20.636452,1704455
2020-02-03,20.850000,21.799999,20.700001,21.200001,20.932669,5580431
2020-02-04,22.000000,22.500000,21.450001,22.049999,21.771950,6707599
2020-02-05,22.500000,23.200001,22.100000,22.750000,22.463123,6616673
2020-02-06,22.950001,23.900000,22.700001,23.350000,23.055557,8050002
2020-02-07,23.600000,23.700001,22.700001,23.299999,23.006187,4187389
2020-02-10,23.000000,23.500000,22.799999,22.900000,22.611231,2191165
2020-02-11,23.049999,23.250000,22.700001,22.950001,22.660603,1443100
2020-02-12,23.150000,23.250000,22.700001,22.799999,22.512493,2004868
2020-02-13,23.150000,23.200001,22.400000,22.549999,22.265644,2980105
2020-02-14,22.799999,22.950001,22.299999,22.600000,22.315016,2323756
2020-02-17,22.500000,23.000000,22.450001,22.549999,22.265644,4141000
2020-02-18,22.650000,22.700001,22.049999,22.450001,22.166906,1906809
2020-02-19,22.299999,22.799999,22.100000,22.200001,21.920059,3952000
2020-02-20,22.500000,22.600000,22.100000,22.200001,21.920059,3436637
2020-02-21,22.250000,22.450001,21.799999,22.000000,21.722580,2903307
2020-02-24,22.100000,22.100000,21.450001,21.650000,21.376993,2620300
2020-02-25,22.000000,24.100000,21.950001,23.600000,23.302404,12887066
2020-02-26,23.000000,24.350000,23.000000,23.400000,23.104927,9418415
2020-02-27,23.500000,23.549999,22.700001,23.000000,22.709970,6147205
2020-02-28,22.799999,23.000000,21.850000,21.950001,21.673212,4945007
2020-03-02,21.950001,22.700001,21.900000,22.350000,22.068169,2976697
2020-03-03,22.500000,23.200001,22.400000,22.600000,22.315016,3805089
2020-03-04,23.049999,23.549999,22.600000,22.900000,22.611231,3633102
2020-03-05,23.250000,23.450001,22.850000,23.350000,23.055557,2523030
2020-03-06,23.150000,23.549999,23.000000,23.100000,22.808710,2269809
2020-03-09,22.450001,22.549999,21.100000,21.600000,21.327625,4522755
2020-03-10,21.600000,21.900000,20.799999,21.150000,20.883299,7663308
2020-03-11,21.500000,21.650000,21.000000,21.100000,20.833931,2939177
2020-03-12,20.900000,21.100000,20.200001,20.350000,20.093388,5072091
2020-03-13,19.100000,20.150000,18.980000,19.959999,19.708303,7328955
2020-03-16,21.500000,21.500000,19.400000,19.480000,19.234358,11064423
2020-03-17,19.520000,21.250000,19.260000,20.600000,20.340235,14692366
2020-03-18,21.000000,22.450001,20.299999,20.500000,20.241495,14917426
2020-03-19,21.950001,21.950001,20.500000,21.150000,20.883299,15783898
2020-03-20,21.450001,21.950001,21.000000,21.799999,21.525103,8115443
2020-03-23,21.299999,21.500000,20.549999,20.650000,20.389605,5810018
2020-03-24,20.600000,22.549999,20.600000,22.000000,21.722580,10808365
2020-03-25,23.049999,23.600000,22.250000,23.100000,22.808710,9767660
2020-03-26,23.400000,27.150000,22.700001,25.850000,25.524033,17471486
2020-03-27,26.750000,26.850000,24.500000,24.700001,24.388535,10738874
2020-03-30,25.000000,26.350000,24.750000,25.200001,24.882229,8154281
2020-03-31,25.950001,25.950001,24.900000,25.500000,25.178446,4810511
2020-04-01,25.650000,25.650000,23.799999,24.150000,23.845469,8589798
2020-04-02,24.000000,24.650000,23.299999,24.600000,24.289795,2128109
2020-04-03,24.650000,26.100000,23.850000,25.500000,25.178446,5301533
2020-04-06,25.500000,26.299999,25.000000,25.250000,24.931599,1944609
2020-04-07,25.500000,25.950001,24.650000,25.900000,25.573402,7226000
2020-04-08,25.700001,26.700001,25.250000,26.500000,26.165836,6968088
2020-04-09,26.700001,27.400000,26.100000,26.299999,25.968357,7954399
2020-04-14,26.350000,27.700001,26.000000,27.400000,27.054487,7705561
2020-04-15,27.400000,28.049999,27.150000,27.400000,27.054487,7011951
2020-04-16,27.049999,28.700001,27.049999,27.750000,27.400074,7520200
2020-04-17,28.200001,28.650000,27.100000,27.200001,26.857010,5801861
2020-04-20,27.299999,28.700001,27.299999,28.450001,28.091248,6199865
2020-04-21,28.350000,28.799999,27.500000,28.150000,27.795029,6297852
